title,link,date,author,description,next_page
Zoom Bug Allowed Snoopers Crack Private Meeting Passwords in Minutes,https://thehackernews.com/2020/07/zoom-meeting-password-hacking.html,"July 30, 2020",Ravie Lakshmanan,"Popular video conferencing app Zoom recently fixed a new security flaw that could have allowed potential attackers to crack the numeric passcode used to secure private meetings on the platform and snoop on participants.   Zoom meetings are by default protected by a six-digit numeric password, but according to Tom Anthony, VP Product at SearchPilot who identified the issue , the lack of rate limiting enabled ""an attacker to attempt all 1 million passwords in a matter of minutes and gain access to other people's private (password protected) Zoom meetings.""   It's worth noting that Zoom began requiring a passcode  for all meetings back in April  as a preventive measure to combat Zoom-bombing attacks, which refers to the act of disrupting and hijacking Zoom meetings uninvited to share obscene and racist content.   Anthony reported the security issue to the company on April 1, 2020, along with a Python-based proof-of-concept script, a week after Zoom patched the flaw on",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
Critical GRUB2 Bootloader Bug Affects Billions of Linux and Windows Systems,https://thehackernews.com/2020/07/grub2-bootloader-vulnerability.html,"July 29, 2020",Mohit Kumar,"A team of cybersecurity researchers today disclosed details of a new high-risk vulnerability affecting billions of devices worldwide—including servers and workstations, laptops, desktops, and IoT systems running nearly any Linux distribution or Windows system.   Dubbed ' BootHole ' and tracked as CVE-2020-10713 , the reported vulnerability resides in the GRUB2 bootloader, which, if exploited, could potentially let attackers bypass the Secure Boot feature and gain high-privileged persistent and stealthy access to the targeted systems.   Secure Boot is a security feature of the Unified Extensible Firmware Interface (UEFI) that uses a bootloader to load critical components, peripherals, and the operating system while ensuring that only cryptographically signed code executes during the boot process.   ""One of the explicit design goals of Secure Boot is to prevent unauthorized code, even running with administrator privileges, from gaining additional privileges and pre-OS pers",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
Is Your Security Vendor Forcing You To Move to the Cloud? You Don't Have To!,https://thehackernews.com/2020/07/cloud-security-endpoints.html,"July 29, 2020",The Hacker News,"Many endpoint security vendors are beginning to offer their applications only in the cloud, sunsetting their on-premise offerings. This approach may be beneficial to the vendor, but many clients continue to need on-premise solutions.   Vendors that sunset on-premise solutions force clients that prefer on-premise solutions to either change their operating environment and approach or change vendors.   Fortunately, some vendors continue to provide their offerings in both cloud and on-premise versions.   One such company is Cynet , which allows clients to deploy their EDR and XDR (Extended Detection and Response) solutions in on-premise, cloud, and hybrid cloud delivery models.   Clients can access the solution in any way they see fit now and into the future. This provides an alternative for organizations that do not want to be forced to move into the cloud.    Cloud vs. On-Premise   The cloud vs. on-premise argument continues to rage. Recently, however, it seems that everyone is jumpin",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
Industrial VPN Flaws Could Let Attackers Target Critical Infrastructures,https://thehackernews.com/2020/07/industrial-vpn-security.html,"July 29, 2020",Swati Khandelwal,"Cybersecurity researchers have discovered critical vulnerabilities in industrial VPN implementations primarily used to provide remote access to operational technology (OT) networks that could allow hackers to overwrite data, execute malicious code, and compromise industrial control systems (ICS).   A new report published  by industrial cybersecurity company Claroty demonstrates multiple severe vulnerabilities in enterprise-grade VPN installations, including Secomea GateManager M2M Server, Moxa EDR-G902, and EDR-G903, and HMS Networks eWon's eCatcher VPN client.   These vulnerable products are widely used in field-based industries such as oil and gas, water utilities, and electric utilities to remotely access, maintain and monitor ICS and field devices, including programmable logic controllers (PLCs) and input/output devices.   According to Claroty researchers, successful exploitation of these vulnerabilities can give an unauthenticated attacker direct access to the ICS devices an",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
OkCupid Dating App Flaws Could've Let Hackers Read Your Private Messages,https://thehackernews.com/2020/07/hacking-okcupid-account.html,"July 29, 2020",Ravie Lakshmanan,"Cybersecurity researchers today disclosed several security issues in popular online dating platform OkCupid that could potentially let attackers remotely spy on users' private information or perform malicious actions on behalf of the targeted accounts.   According to a report shared with The Hacker News, researchers from Check Point  found that the flaws in OkCupid's Android and web applications could allow the theft of users' authentication tokens, users IDs, and other sensitive information such as email addresses, preferences, sexual orientation, and other private data.   After Check Point researchers responsibly shared their findings with OkCupid, the Match Group-owned company fixed the issues, stating, ""not a single user was impacted by the potential vulnerability.""    The Chain of Flaws   The flaws were identified as part of reverse engineering of OkCupid's Android app version 40.3.1, which was released on April 29 earlier this year. Since then, there",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
Undetectable Linux Malware Targeting Docker Servers With Exposed APIs,https://thehackernews.com/2020/07/docker-linux-malware.html,"July 28, 2020",Swati Khandelwal,"Cybersecurity researchers today uncovered a completely undetectable Linux malware  that exploits undocumented techniques to stay under the radar and targets publicly accessible Docker servers hosted with popular cloud platforms, including AWS, Azure, and Alibaba Cloud.   Docker is a popular platform-as-a-service (PaaS) solution for Linux and Windows designed to make it easier for developers to create, test, and run their applications in a loosely isolated environment called a container.   According to the latest research Intezer shared  with The Hacker News, an ongoing Ngrok mining botnet campaign scanning the Internet for misconfigured Docker API endpoints and has already infected many vulnerable servers with new malware.   While the Ngrok mining botnet is active for the past two years, the new campaign is primarily focused on taking control over misconfigured Docker servers and exploiting them to set up malicious containers with cryptominers running on the victims' infrastructu",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
"QSnatch Data-Stealing Malware Infected Over 62,000 QNAP NAS Devices",https://thehackernews.com/2020/07/qnap-nas-malware-attack.html,"July 27, 2020",Ravie Lakshmanan,"Cybersecurity agencies in the US and UK yesterday issued a joint  advisory  about a massive ongoing malware threat infecting Taiwanese company QNAP's network-attached storage (NAS) appliances.   Called QSnatch (or Derek), the data-stealing malware is said to have compromised 62,000 devices since reports emerged last October, with a high degree of infection in Western Europe and North America.   ""All QNAP NAS devices are potentially vulnerable to QSnatch malware if not updated with the latest security fixes,"" the US Cybersecurity and Infrastructure Security Agency (CISA) and the UK's National Cyber Security Centre (NCSC) said in the alert.   ""Further, once a device has been infected, attackers can prevent administrators from successfully running firmware updates.""   The mode of compromise, i.e., the infection vector, still remains unclear, but CISA and NCSC said the first campaign likely began in 2014 and continued till mid-2017 before intensifying over th",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
Learn Machine Learning and AI – Online Training Program @ 93% OFF,https://thehackernews.com/2020/07/artificial-intelligence-training.html,"July 27, 2020",The Hacker News,"Within the next decade, artificial intelligence is likely to play a significant role in our everyday lives. Machine learning already powers image recognition, self-driving cars, and Netflix recommendations.   For any aspiring developer, learning how to code smart software is a good move. These skills are highly valued in tech, finance, sales, marketing, and many other sectors.   The Hacker News recently partnered with professional trainers to offer their popular artificial intelligence online training programs at hugely discounted prices.   The "" Essential AI & Machine Learning Certification Training Bundle ,"" the program aims to help you explore the technology, with four hands-on video courses working towards certification:    Artificial Intelligence (AI) and Machine Learning (ML) Foundation  ⁠— Explore the Field of AI & ML and Develop Your Expertise in Neural Network & Deep Architectures  Data Visualization with Python and Matplotlib  ⁠— Arrange Critical &",https://thehackernews.com/search?updated-max=2020-07-27T01:35:00-07:00&max-results=8
Researchers Reveal New Security Flaw Affecting China's DJI Drones,https://thehackernews.com/2020/07/dji-drone-hacking_24.html,"July 24, 2020",Ravie Lakshmanan,"Cybersecurity researchers on Thursday revealed security issues in the Android app developed by Chinese drone-maker Da Jiang Innovations (DJI) that comes with an auto-update mechanism that bypasses Google Play Store and could be used to install malicious applications and transmit sensitive personal information to DJI's servers.   The twin reports, courtesy of cybersecurity firms Synacktiv  and GRIMM , found that DJI's Go 4  Android app not only asks for extensive permissions and collects personal data (IMSI, IMEI, the serial number of the SIM card), it makes use of anti-debug and encryption techniques to thwart security analysis.   ""This mechanism is very similar to command and control servers encountered with malware,"" Synacktiv said.   ""Given the wide permissions required by DJI GO 4 — contacts, microphone, camera, location, storage, change network connectivity — the DJI or Weibo Chinese servers have almost full control over the user's phone.""   The",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
Smartwatch Maker Garmin Shuts Down Services After Ransomware Attack,https://thehackernews.com/2020/07/garmin-ransomware-attack.html,"July 24, 2020",Mohit Kumar,"Garmin, the maker of fitness trackers, smartwatches and GPS-based wearable devices, is currently dealing with a massive worldwide service interruption after getting hit by a targeted ransomware attack, an employee of the company told The Hacker News on condition of anonymity.   The company's website and the Twitter  account say, ""We are currently experiencing an outage that affects Garmin.com and Garmin Connect.""   ""This outage also affects our call centers, and we are currently unable to receive any calls, emails or online chats. We are working to resolve this issue as quickly as possible and apologize for this inconvenience.""   As a result, the company yesterday was forced to temporarily shut down some of its connected services, including Garmin Express, Garmin Connect mobile, and the website—restricting millions of its users from accessing the cloud services or even syncing their watches locally to the app.   Though not much information is available on tech",https://thehackernews.com/search?updated-max=2020-07-16T04:00:00-07:00&max-results=8&start=8&by-date=false
